date,open_price,high_price,low_price,close_price,volume,dividends,stock_splits,brand_name,ticker,industry_tag,country
2023-09-14 04:00:00+00:00,58.2400016784668,58.59000015258789,58.18999862670898,58.459999084472656,12311600.0,0.46,0.0,the coca-cola company,KO,food_and_beverage,usa
2023-09-08 04:00:00+00:00,254.4900054931641,255.2100067138672,251.7899932861328,253.3099975585937,1179700.0,1.26,0.0,fedex,FDX,logistics,usa
2023-09-06 04:00:00+00:00,484.4100036621094,485.489990234375,465.7999877929688,470.6099853515625,46867000.0,0.04,0.0,nvidia,NVDA,technology,usa
2004-05-06 04:00:00+00:00,25.67692319332833,25.74631922412448,25.08704898969445,25.191143035888672,5389400.0,0.1,0.0,costco,COST,retail,usa
2004-07-21 04:00:00+00:00,28.501444987389053,29.07884655190009,28.452748565819057,28.626665115356445,2950000.0,0.1,0.0,costco,COST,retail,usa
2004-11-03 05:00:00+00:00,34.15803848804705,34.50658990119038,33.600356758864955,33.837371826171875,4110900.0,0.1,0.0,costco,COST,retail,usa
2005-02-04 05:00:00+00:00,32.38753733966467,32.708897074962934,32.08014744939347,32.26178741455078,3578300.0,0.1,0.0,costco,COST,retail,usa
2005-05-04 04:00:00+00:00,29.39404877455429,30.12259592192313,29.373033865091248,30.02452278137207,4474600.0,0.115,0.0,costco,COST,retail,usa
2005-08-03 04:00:00+00:00,31.70909408682387,31.863599473537946,31.055949763878697,31.217479705810547,6144500.0,0.115,0.0,costco,COST,retail,usa
2005-11-16 05:00:00+00:00,34.67654310285335,34.810295195292845,34.40904428868157,34.634307861328125,2279400.0,0.115,0.0,costco,COST,retail,usa
2006-02-07 05:00:00+00:00,34.82117162013609,35.02579516546142,34.24258294769861,34.37664794921875,2641100.0,0.115,0.0,costco,COST,retail,usa
2006-05-08 04:00:00+00:00,40.0992336277056,40.48113173316487,39.76684053245541,40.20531463623047,1867600.0,0.13,0.0,costco,COST,retail,usa
2006-07-28 04:00:00+00:00,36.72668715376117,36.967750463032274,35.946777879172686,36.77631759643555,4768700.0,0.13,0.0,costco,COST,retail,usa
2006-11-15 05:00:00+00:00,37.21599772172251,37.9267692512852,37.21599772172251,37.67799758911133,2861600.0,0.13,0.0,costco,COST,retail,usa
2007-02-12 05:00:00+00:00,40.380292364436805,40.394541205784215,39.63936892050307,39.75335693359375,2442500.0,0.13,0.0,costco,COST,retail,usa
2007-04-25 04:00:00+00:00,38.81697101446406,38.94555155566728,38.52409372060611,38.7669677734375,3557000.0,0.145,0.0,costco,COST,retail,usa
2007-07-25 04:00:00+00:00,43.39331516545893,43.4076367197336,42.61280821261068,43.178497314453125,3540300.0,0.145,0.0,costco,COST,retail,usa
2007-11-28 05:00:00+00:00,47.94546773931636,48.41193426121978,47.299596912998354,48.06747055053711,5521500.0,0.145,0.0,costco,COST,retail,usa
2008-02-13 05:00:00+00:00,46.888466792803584,47.363174583942985,46.500066515958295,47.24090194702149,4922500.0,0.145,0.0,costco,COST,retail,usa
2008-05-14 04:00:00+00:00,53.67927739446535,54.22710020663633,53.326078377131815,53.49907302856445,4171000.0,0.16,0.0,costco,COST,retail,usa
2008-08-06 04:00:00+00:00,46.40576446814435,47.619742932586746,46.30460005552807,47.48967361450195,7900300.0,0.16,0.0,costco,COST,retail,usa
2008-11-12 05:00:00+00:00,36.96605662268374,37.08927548423246,35.20473252710988,35.3569450378418,7948300.0,0.16,0.0,costco,COST,retail,usa
2009-02-11 05:00:00+00:00,32.132429013376026,32.34339650756415,31.339487392275053,31.67412376403809,4778800.0,0.16,0.0,costco,COST,retail,usa
2009-05-13 04:00:00+00:00,33.775153394278234,33.9942349131947,33.08139292956556,33.33699035644531,5929500.0,0.18,0.0,costco,COST,retail,usa
2009-08-12 04:00:00+00:00,35.871586716162426,36.27472285672041,35.84959848888161,36.0255126953125,2881100.0,0.18,0.0,costco,COST,retail,usa
